4 + 93 =
6 + 4 =
9 + 7 =
5 + 2 =
8 + 5 =
3 + 3 =
10 + 6 =
4 + 5 =
12 + 2 =
7 + 3 =
15 + 3 =
2 + 6 =
9 + 4 =
8 + 2 =
5 + 4 =
6 + 3 =
14 + 7 =
3 + 5 =
10 + 8 =
4 + 2 =
7 + 2 =
12 + 9 =
6 + 3 =
5 + 2 =
8 + 6 =
3 + 4 =
9 + 3 =
10 + 4 =
2 + 7 =
15 + 9 =
4 + 4 =
6 + 2 =
8 + 4 =
7 + 5 =
3 + 2 =
9 + 6 =
5 + 83 =
12 + 4 =
10 + 7 =
4 + 2 =
8 + 3 =
6 + 3 =
15 + 5 =
7 + 4 =
2 + 5 =
9 + 5 =
3 + 3 =
10 + 5 =
8 + 8 =
5 + 1 =
6 + 1 =
4 + 1 =
7 + 1 =
9 + 3 =
12 + 6 =
5 + 3 =
8 + 4 =
3 + 6 =
10 + 9 =
4 + 1 =
6 + 2 =
7 + 2 =
5 + 0 =
9 + 8 =
3 + 1 =
8 + 7 =
4 + 0 =
10 + 2 =
6 + 1 =
7 + 6 =
5 + 2 =
9 + 9 =
3 + 2 =
8 + 1 =
4 + 3 =
6 + 5 =
10 + 3 =
5 + 1 =
7 + 0 =
9 + 2 =
3 + 1 =
8 + 1 =
6 + 0 =
4 + 2 =
10 + 1 =
5 + 4 =
7 + 1 =
3 + 0 =
9 + 1 =
6 + 1 =
4 + 5 =
8 + 2 =
5 + 1 =
10 + 5 =
3 + 4 =
7 + 2 =
9 + 6 =
6 + 4 =
4 + 2 =
5 + 3 =
5 + 4 =
7 + 3 =
9 + 3 =
6 + 2 =
8 + 5 =
4 + 3 =
10 + 7 =
3 + 2 =
12 + 4 =
5 + 2 =
7 + 1 =
9 + 6 =
4 + 5 =
6 + 1 =
8 + 2 =
3 + 4 =
10 + 4 =
5 + 3 =
7 + 4 =
9 + 8 =
6 + 3 =
4 + 1 =
8 + 3 =
10 + 5 =
3 + 3 =
5 + 1 =
7 + 2 =
9 + 5 =
6 + 3 =
4 + 2 =
8 + 6 =
3 + 5 =
10 + 9 =
5 + 0 =
7 + 6 =
9 + 9 =
4 + 4 =
6 + 2 =
8 + 7 =
3 + 1 =
10 + 8 =
5 + 2 =
7 + 5 =
4 + 2 =
9 + 4 =
6 + 1 =
8 + 4 =
3 + 6 =
5 + 3 =
10 + 6 =
4 + 1 =
7 + 0 =
9 + 7 =
6 + 4 =
3 + 3 =
8 + 4 =
5 + 1 =
10 + 2 =
4 + 0 =
7 + 2 =
9 + 3 =
6 + 0 =
3 + 2 =
8 + 1 =
5 + 1 =
10 + 5 =
4 + 5 =
7 + 1 =
9 + 2 =
6 + 3 =
3 + 0 =
8 + 1 =
5 + 4 =
10 + 3 =
4 + 3 =
7 + 1 =
9 + 6 =
6 + 2 =
3 + 4 =
8 + 5 =
5 + 3 =
10 + 7 =
4 + 1 =
7 + 2 =
9 + 8 =
6 + 1 =
3 + 5 =
8 + 3 =
5 + 2 =
10 + 5 =
4 + 2 =
7 + 4 =
9 + 5 =
6 + 3 =
3 + 1 =
8 + 6 =
5 + 0 =
10 + 4 =
4 + 4 =
7 + 3 =
6 + 3 =
8 + 4 =
9 + 3 =
5 + 2 =
7 + 1 =
4 + 5 =
10 + 6 =
3 + 2 =
12 + 4 =
5 + 3 =
7 + 2 =
9 + 5 =
4 + 1 =
6 + 2 =
8 + 2 =
3 + 4 =
10 + 7 =
5 + 4 =
7 + 4 =
9 + 6 =
6 + 1 =
4 + 2 =
8 + 5 =
10 + 5 =
3 + 3 =
5 + 1 =
7 + 0 =
9 + 8 =
6 + 3 =
4 + 0 =
8 + 3 =
3 + 5 =
10 + 9 =
5 + 3 =
7 + 6 =
9 + 9 =
4 + 4 =
6 + 4 =
8 + 7 =
3 + 1 =
10 + 4 =
5 + 1 =
7 + 5 =
4 + 1 =
9 + 2 =
6 + 2 =
8 + 4 =
3 + 6 =
5 + 4 =
10 + 8 =
4 + 3 =
7 + 2 =
9 + 7 =
6 + 1 =
3 + 3 =
8 + 6 =
5 + 0 =
10 + 2 =
4 + 2 =
7 + 1 =
9 + 3 =
6 + 0 =
3 + 2 =
8 + 1 =
5 + 1 =
10 + 5 =
4 + 5 =
7 + 3 =
9 + 4 =
6 + 3 =
3 + 0 =
8 + 1 =
5 + 2 =
10 + 3 =
4 + 1 =
7 + 2 =
9 + 6 =
6 + 3 =
3 + 4 =
8 + 5 =
5 + 3 =
10 + 7 =
4 + 2 =
7 + 1 =
9 + 8 =
6 + 2 =
3 + 5 =
8 + 4 =
5 + 1 =
10 + 5 =
4 + 0 =
7 + 6 =
9 + 5 =
6 + 1 =
3 + 3 =
8 + 7 =
5 + 4 =
10 + 6 =
4 + 3 =
7 + 4 =
4 + 5 =
3 + 3 =
7 + 3 =
16 + 2 =
2 + 2 =
9 + 1 =
18 + 2 =
8 + 6 =
5 + 4 =
6 + 3 =
7 + 0 =
4 + 2 =
10 + 1 =
3 + 4 =
12 + 3 =
1 + 7 =
5 + 1 =
2 + 3 =
6 + 1 =
9 + 4 =
8 + 4 =
7 + 2 =
8 + 5 =
15 + 5 =
6 + 2 =
3 + 6 =
4 + 1 =
8 + 7 =
5 + 3 =
14 + 2 =
9 + 8 =
2 + 4 =
7 + 0 =
10 + 6 =
6 + 2 =
2 + 7 =
3 + 2 =
9 + 3 =
5 + 2 =
16 + 4 =
4 + 4 =
6 + 5 =
8 + 2 =
